Fecha,Tienda,Producto,Descuento_Aplicado,Temperatura_Promedio_C,Precipitacion_mm,Categoría,Precio,Costo,Descuento_Max,Marca,Región,year,month,week,day_of_year,ventas_lag_1,ventas_lag_2,ventas_lag_4,ventas_lag_8,monto_lag_1,monto_lag_2,monto_lag_4,monto_lag_8,ventas_rolling_4,ventas_rolling_8,ventas_rolling_12,monto_rolling_4,monto_rolling_8,monto_rolling_12,Prediccion_Ventas,Prediccion_Monto
2025-03-02,1,1,0,22.246129032258064,10.169677419354839,1,653.27,341.87,0,1,2,2025,3,9,61,30.0,93.0,45.0,34.0,19598.1,60754.11,29397.15,22211.18,61.0,54.375,47.416666666666664,39849.47,35521.55625,30975.88583333333,61.57053,40222.18009243011
2025-03-02,1,2,0,22.246129032258064,10.169677419354839,0,158.52,82.96,10,0,2,2025,3,9,61,42.0,60.0,60.0,40.0,6637.31,9373.59,9373.54,5844.82,52.25,52.125,57.5,8132.7300000000005,8007.2425,8767.098333333333,50.88104,8065.662249298096
2025-03-02,1,3,0,22.246129032258064,10.169677419354839,0,323.52,169.31,5,2,2,2025,3,9,61,85.0,46.0,35.0,112.0,26768.85,14190.09,11116.91,36036.11,59.75,59.125,56.916666666666664,18681.372499999998,18668.56125,17967.3025,53.20246,17212.06026123047
2025-03-02,1,4,0,22.246129032258064,10.169677419354839,3,96.04,50.26,0,2,2,2025,3,9,61,56.0,89.0,62.0,26.0,5378.24,8547.56,5954.48,2497.04,60.75,55.375,55.25,5834.43,5318.215,5306.21,46.11582,4428.96352935791
2025-03-02,1,5,0,22.246129032258064,10.169677419354839,4,269.57,141.07,20,1,2,2025,3,9,61,68.0,61.0,94.0,16.0,15217.96,16389.78,24634.83,3583.96,81.0,70.75,57.416666666666664,20165.4125,17042.31375,13953.486666666666,93.874214,25305.67191444397
2025-03-02,1,6,0,22.246129032258064,10.169677419354839,2,167.35,87.58,20,3,2,2025,3,9,61,51.0,60.0,61.0,79.0,7049.7,9862.52,9581.96,12877.78,63.75,72.875,64.08333333333333,9609.0725,11166.228749999998,9759.285,73.673416,12329.246190643311
2025-03-02,1,7,0,22.246129032258064,10.169677419354839,0,729.45,381.74,10,0,2,2025,3,9,61,92.0,74.0,21.0,47.0,62784.06,52142.02,14347.7,33699.74,64.5,62.75,64.91666666666667,44588.75,44266.85125,45315.793333333335,45.70317,33338.17792282104
2025-03-02,1,8,0,22.246129032258064,10.169677419354839,4,941.46,492.69,15,3,2,2025,3,9,61,49.0,33.0,44.0,40.0,42393.38,28384.13,36882.64,33265.99,40.5,48.375,45.583333333333336,34438.1075,41858.79625,39719.825000000004,39.755714,37428.41489456177
2025-03-02,1,9,0,22.246129032258064,10.169677419354839,2,767.77,401.79,20,1,2,2025,3,9,61,41.0,43.0,32.0,65.0,31177.13,27051.94,22944.5,44850.94,45.25,46.25,55.0,31180.47,31460.08625,37964.6025,49.20544,37778.46106899261
2025-03-02,1,10,0,22.246129032258064,10.169677419354839,1,190.79,99.85,10,2,2,2025,3,9,61,84.0,103.0,62.0,19.0,14690.42,18126.09,10943.61,3374.84,83.25,63.75,61.416666666666664,14683.805,11468.372500000001,11000.499166666666,76.153725,14529.369129867553
