Fecha,Tienda,Producto,Ventas,Ventas_Monto,Descuento_Aplicado,Categoría,Región,Temperatura_Promedio_C,Precipitacion_mm
2023-03-05 00:00:00,1,1,90,58794.3,0.0,Electrónica,Oeste,20.9,15.4
2023-03-05 00:00:00,1,2,82,12640.01,2.76,Alimentos,Oeste,20.9,15.4
2023-03-05 00:00:00,1,3,93,29213.27,2.91,Alimentos,Oeste,20.9,15.4
2023-03-05 00:00:00,1,4,46,4417.84,0.0,Ropa,Oeste,20.9,15.4
2023-03-05 00:00:00,1,5,42,9519.63,15.92,Salud,Oeste,20.9,15.4
2023-03-05 00:00:00,1,6,42,6661.24,5.23,Hogar,Oeste,20.9,15.4
2023-03-05 00:00:00,1,7,69,49027.62,2.59,Alimentos,Oeste,20.9,15.4
2023-03-05 00:00:00,1,8,75,66851.53,5.32,Salud,Oeste,20.9,15.4
2023-03-05 00:00:00,1,9,69,46787.42,11.68,Hogar,Oeste,20.9,15.4
2023-03-05 00:00:00,1,10,82,15432.96,1.35,Electrónica,Oeste,20.9,15.4
2023-03-05 00:00:00,1,11,20,15736.6,0.0,Alimentos,Oeste,20.9,15.4
2023-03-05 00:00:00,1,12,33,14272.78,6.91,Alimentos,Oeste,20.9,15.4
2023-03-05 00:00:00,1,13,24,15142.56,0.0,Electrónica,Oeste,20.9,15.4
2023-03-05 00:00:00,1,14,63,53293.95,4.11,Salud,Oeste,20.9,15.4
2023-03-05 00:00:00,1,15,94,25917.68,0.0,Electrónica,Oeste,20.9,15.4
2023-03-05 00:00:00,1,16,20,15311.46,2.28,Ropa,Oeste,20.9,15.4
2023-03-05 00:00:00,1,17,30,18776.77,2.42,Electrónica,Oeste,20.9,15.4
2023-03-05 00:00:00,1,18,63,14702.06,2.22,Hogar,Oeste,20.9,15.4
2023-03-05 00:00:00,1,19,76,27688.87,8.73,Electrónica,Oeste,20.9,15.4
2023-03-05 00:00:00,1,20,75,26154.75,0.0,Salud,Oeste,20.9,15.4
2023-03-05 00:00:00,2,1,55,35929.85,0.0,Electrónica,Oeste,20.9,15.4
2023-03-05 00:00:00,2,2,88,13799.12,1.08,Alimentos,Oeste,20.9,15.4
2023-03-05 00:00:00,2,3,30,9451.33,2.62,Alimentos,Oeste,20.9,15.4
2023-03-05 00:00:00,2,4,54,5186.16,0.0,Ropa,Oeste,20.9,15.4
2023-03-05 00:00:00,2,5,73,19013.81,3.38,Salud,Oeste,20.9,15.4
2023-03-05 00:00:00,2,6,28,4364.27,6.86,Hogar,Oeste,20.9,15.4
2023-03-05 00:00:00,2,7,45,30234.31,7.89,Alimentos,Oeste,20.9,15.4
2023-03-05 00:00:00,2,8,66,61836.61,0.48,Salud,Oeste,20.9,15.4
2023-03-05 00:00:00,2,9,81,61007.13,1.9,Hogar,Oeste,20.9,15.4
2023-03-05 00:00:00,2,10,26,4612.97,7.01,Electrónica,Oeste,20.9,15.4
2023-03-05 00:00:00,2,11,33,25965.39,0.0,Alimentos,Oeste,20.9,15.4
2023-03-05 00:00:00,2,12,26,11031.05,8.68,Alimentos,Oeste,20.9,15.4
2023-03-05 00:00:00,2,13,65,41011.1,0.0,Electrónica,Oeste,20.9,15.4
2023-03-05 00:00:00,2,14,44,38482.06,0.86,Salud,Oeste,20.9,15.4
2023-03-05 00:00:00,2,15,42,11580.24,0.0,Electrónica,Oeste,20.9,15.4
2023-03-05 00:00:00,2,16,83,63972.4,1.62,Ropa,Oeste,20.9,15.4
2023-03-05 00:00:00,2,17,69,44008.61,0.57,Electrónica,Oeste,20.9,15.4
2023-03-05 00:00:00,2,18,24,5242.17,8.48,Hogar,Oeste,20.9,15.4
2023-03-05 00:00:00,2,19,59,20352.16,13.58,Electrónica,Oeste,20.9,15.4
2023-03-05 00:00:00,2,20,68,23713.64,0.0,Salud,Oeste,20.9,15.4
2023-03-05 00:00:00,3,1,76,49648.52,0.0,Electrónica,Este,17.7,10.4
2023-03-05 00:00:00,3,2,44,6310.82,9.52,Alimentos,Este,17.7,10.4
2023-03-05 00:00:00,3,3,64,19703.72,4.84,Alimentos,Este,17.7,10.4
2023-03-05 00:00:00,3,4,73,7010.92,0.0,Ropa,Este,17.7,10.4
2023-03-05 00:00:00,3,5,68,17261.64,5.83,Salud,Este,17.7,10.4
2023-03-05 00:00:00,3,6,64,9118.03,14.87,Hogar,Este,17.7,10.4
2023-03-05 00:00:00,3,7,19,12487.44,9.9,Alimentos,Este,17.7,10.4
2023-03-05 00:00:00,3,8,81,71535.58,6.19,Salud,Este,17.7,10.4
2023-03-05 00:00:00,3,9,76,56188.01,3.71,Hogar,Este,17.7,10.4
2023-03-05 00:00:00,3,10,65,11497.57,7.29,Electrónica,Este,17.7,10.4
2023-03-05 00:00:00,3,11,90,70814.7,0.0,Alimentos,Este,17.7,10.4
2023-03-05 00:00:00,3,12,54,24787.8,1.2,Alimentos,Este,17.7,10.4
2023-03-05 00:00:00,3,13,86,54260.84,0.0,Electrónica,Este,17.7,10.4
2023-03-05 00:00:00,3,14,42,35538.96,4.08,Salud,Este,17.7,10.4
2023-03-05 00:00:00,3,15,95,26193.4,0.0,Electrónica,Este,17.7,10.4
2023-03-05 00:00:00,3,16,70,52944.23,3.46,Ropa,Este,17.7,10.4
2023-03-05 00:00:00,3,17,35,20607.52,8.21,Electrónica,Este,17.7,10.4
2023-03-05 00:00:00,3,18,50,10820.67,9.32,Hogar,Este,17.7,10.4
2023-03-05 00:00:00,3,19,22,7137.77,18.72,Electrónica,Este,17.7,10.4
